Prominent Krůtí mleté maso,(159,00 Kč/kg)
Světničkové kuře třídy A,(99,90 Kč/kg)
Prominent Krůtí spodní stehno,(89,90 Kč/kg)
Vepřová kotleta s kostí 2 plátky,(149,00 Kč/kg)
Prominent Krůtí prsa,(199,00 Kč/kg)
Vepřová krkovice s kostí 2 plátky,(154,00 Kč/kg)
Losos filet s kůží,(595,00 Kč/kg)
Hovězí Angus Rump Steak od TRMS,(1 329,00 Kč/kg)
Slávky jumbo síť 1kg,(129,00 Kč/kg)
Vepřová krkovice bez kosti z Múúú Písek,(169,00 Kč/kg)
Svíčková hovězí,(999,00 Kč/kg)
Telecí řízek z kýty,(549,00 Kč/kg)
Vepřová pečeně bez kosti 2 plátky,(189,00 Kč/kg)
Monini Extra panenský olivový olej s příchutí - Česnek a Chilli,(599,60 Kč/l)
Vodňanské kuře spodní stehna,(89,90 Kč/kg)
Krkovice steak z přeštíka od TRMS,(549,00 Kč/kg)
Fabio Produkt Olej Gril & Steak,(269,80 Kč/l)
Pražma královská filet s kůží,(899,00 Kč/kg)
Prominent Krůtí stehenní plátek,(149,00 Kč/kg)
Kohout,(169,00 Kč/kg)
Uzená krkovice bez kosti z Múúú Písek,
                                            119,00 Kč/kg
                                    
Kuřecí prsa Farma rodiny Němcovy,(249,00 Kč/kg)
Losos filet s kůží,(595,00 Kč/kg)
Losos filet s kůží bez kosti duo-pack,(597,50 Kč/kg)
Světničkové kuře prsní řízky,(199,00 Kč/kg)
Prominent Krůtí prsa,(199,00 Kč/kg)
Anglická slanina lisovaná krájená z Múúú Písek,(219,00 Kč/kg)
Losos filet s kůží bez kosti duo-pack,(597,50 Kč/kg)
Farmářská slanina lisovaná krájená z Múúú Písek,249,00 Kč/kg
Kuřecí čtvrtky Farma rodiny Němcovy,(149,00 Kč/kg)
Mleté maso mix hovězí a vepřové,(128,67 Kč/kg)
Hovězí bio mleté maso,(238,00 Kč/kg)
Hovězí maso sekané 20% tuku,(179,80 Kč/kg)
Pstruh duhový kuchaný,(269,00 Kč/kg)
Vinium Rulandské modré Exclusive, pozdní sběr,(172,00 Kč/l)
Kuřecí stehna Farma rodiny Němcovy,(199,00 Kč/kg)
Světničkové kuře polévková směs,(44,90 Kč/kg)
Vodňanské kuře spodní stehna,(89,90 Kč/kg)
Vodňanské kuře stehna,(94,90 Kč/kg)
Světničkové kuře třídy A,(99,90 Kč/kg)
Sumeček africký filet,(399,00 Kč/kg)
Hovězí bio žebra s kostí,(139,00 Kč/kg)
Mleté maso vepřové Naše Miroslav,(171,30 Kč/kg)
Kostelecké uzeniny Poctivá selská slanina,(339,00 Kč/kg)
Světničkové kuře stehenní řízky,(159,00 Kč/kg)
Le&Co Anglická slanina speciál,(232,67 Kč/kg)
Panenská vepřová svíčková Naše Miroslav,(399,00 Kč/kg)
Kuře celé bez drobů Farma rodiny Němcovy,(159,00 Kč/kg)
Le&Co Anglická slanina plátky shaved,(229,00 Kč/kg)
Prominent Krůtí mleté maso,(159,00 Kč/kg)
Mini kuřátko (Francie),(218,00 Kč/kg)
Kuřecí stehenní řízky Farma rodiny Němcovy,(239,00 Kč/kg)
Hovězí bio kostky na guláš,(278,00 Kč/kg)
Vodňanské kuře Kuřecí játra,(69,90 Kč/kg)
Kuřecí křídla Farma rodiny Němcovy,(129,00 Kč/kg)
Labeyrie Losos uzený malé plátky,(832,50 Kč/kg)
Vodňanské kuře křídla 6ks,(69,90 Kč/kg)
Vepřová kýta bez kosti z Múúú Písek,(159,00 Kč/kg)
Světničkové kuře spodní stehna 4 ks,(99,90 Kč/kg)
